,filename,width,height,class_name,class_no,xmin,ymin,xmax,ymax
0,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_rigal.jpg,800,600,green,3,304,425,338,501
1,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_rigal.jpg,800,600,green,3,153,420,189,495
2,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_rigal.jpg,800,600,green,3,444,429,476,501
3,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_rigal.jpg,800,600,green,3,454,429,486,501
4,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_blure.jpg,800,600,green,3,304,425,338,501
5,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_blure.jpg,800,600,green,3,153,420,189,495
6,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_blure.jpg,800,600,green,3,444,429,476,501
7,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_blure.jpg,800,600,green,3,454,429,486,501
8,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_noise.jpg,800,600,green,3,304,425,338,501
9,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_noise.jpg,800,600,green,3,153,420,189,495
10,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_noise.jpg,800,600,green,3,444,429,476,501
11,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_noise.jpg,800,600,green,3,454,429,486,501
12,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_rainy.jpg,800,600,green,3,304,425,338,501
13,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_rainy.jpg,800,600,green,3,153,420,189,495
14,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_rainy.jpg,800,600,green,3,444,429,476,501
15,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_o_rainy.jpg,800,600,green,3,454,429,486,501
16,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_blure.jpg,800,600,green,3,304,425,338,501
17,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_blure.jpg,800,600,green,3,153,420,189,495
18,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_blure.jpg,800,600,green,3,444,429,476,501
19,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_blure.jpg,800,600,green,3,454,429,486,501
20,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_noise.jpg,800,600,green,3,304,425,338,501
21,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_noise.jpg,800,600,green,3,153,420,189,495
22,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_noise.jpg,800,600,green,3,444,429,476,501
23,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_noise.jpg,800,600,green,3,454,429,486,501
24,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_brght.jpg,800,600,green,3,304,425,338,501
25,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_brght.jpg,800,600,green,3,153,420,189,495
26,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_brght.jpg,800,600,green,3,444,429,476,501
27,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_brght.jpg,800,600,green,3,454,429,486,501
28,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_rainy.jpg,800,600,green,3,304,425,338,501
29,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_rainy.jpg,800,600,green,3,153,420,189,495
30,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_rainy.jpg,800,600,green,3,444,429,476,501
31,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00001_f_rainy.jpg,800,600,green,3,454,429,486,501
32,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00002_o_blure.jpg,800,600,green,3,304,425,338,501
33,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00002_o_blure.jpg,800,600,green,3,153,420,189,495
34,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00002_o_blure.jpg,800,600,green,3,444,429,476,501
35,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00002_o_blure.jpg,800,600,green,3,454,429,486,501
36,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00002_o_noise.jpg,800,600,green,3,304,425,338,501
37,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00002_o_noise.jpg,800,600,green,3,153,420,189,495
38,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00002_o_noise.jpg,800,600,green,3,444,429,476,501
39,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00002_o_noise.jpg,800,600,green,3,454,429,486,501
40,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00002_f_lippd.jpg,800,600,green,3,304,425,338,501
41,C:/Users/saidz/git/CarND-Capstone/tl_detection_pipeline/annotation_pipeline/images/train/00002_f_lippd.jpg,800,600,green,3,153,420,189,495
